"id","created_at","updated_at","mentee_id","created_by_user_id","company_id","amount","student_payment_percent","status","note","rejected_reason","employment_date","canceled_at","canceled_by_user_id","cancellation_reason"
48,2026-03-03 21:56:47.825 +0300,2026-03-05 20:42:00.919 +0300,171,64,572,300000,200,approved,,,2026-03-05,,,
49,2026-03-12 15:55:42.890 +0300,2026-03-12 15:56:06.457 +0300,124,5,605,278000,200,rejected,,Долю олега забыл указать,2026-03-12,,,
50,2026-03-12 15:58:26.293 +0300,2026-03-12 16:18:44.126 +0300,124,5,605,278000,200,approved,,,2026-03-12,,,
52,2026-03-17 11:17:10.559 +0300,2026-03-17 11:48:28.654 +0300,353,24,611,365400,200,rejected,,Дата,2026-03-23,,,
54,2026-03-18 13:19:38.064 +0300,2026-03-18 13:50:48.970 +0300,333,23,614,250000,200,approved,,,2026-03-31,,,
53,2026-03-18 13:18:00.863 +0300,2026-03-18 13:50:51.270 +0300,106,23,613,280000,200,approved,,,2026-03-30,,,
55,2026-03-18 21:58:57.567 +0300,2026-03-18 21:59:52.183 +0300,353,24,611,365400,200,approved,,,2026-03-30,,,
56,2026-03-24 17:58:50.981 +0300,2026-03-24 18:10:44.776 +0300,158,20,148,374100,200,approved,,,2026-03-23,,,
59,2026-04-06 12:28:49.302 +0300,2026-04-06 12:28:56.384 +0300,123,23,116,250000,200,approved,,,2026-04-06,,,
58,2026-04-04 14:44:10.019 +0300,2026-04-06 13:43:32.013 +0300,286,24,331,280140,200,approved,,,2026-04-09,,,
57,2026-04-03 15:26:00.369 +0300,2026-04-06 13:43:33.280 +0300,166,64,637,261000,200,approved,,,2026-04-06,,,
60,2026-04-15 17:42:29.313 +0300,2026-04-15 18:31:25.150 +0300,165,13,,300000,200,rejected,,не указана компания,2026-03-13,,,
61,2026-04-15 18:39:13.564 +0300,2026-04-15 18:39:23.629 +0300,165,13,647,300000,200,approved,,,2026-03-13,,,
64,2026-04-23 19:03:18.187 +0300,2026-04-23 21:32:56.896 +0300,167,64,655,260000,200,approved,,,2026-04-28,,,
62,2026-04-15 18:43:07.337 +0300,2026-04-15 21:11:35.819 +0300,293,13,648,310000,200,approved,,,2026-04-07,,,
63,2026-04-20 19:45:05.619 +0300,2026-04-20 21:05:57.894 +0300,154,64,652,282750,200,approved,,,2026-04-27,,,
65,2026-04-28 10:39:02.252 +0300,2026-04-28 11:45:49.443 +0300,302,5,658,239250,200,approved,,,2026-04-28,,,
66,2026-04-28 18:43:05.203 +0300,2026-04-28 18:44:09.806 +0300,121,64,659,261000,200,approved,,,2026-05-12,,,
67,2026-05-02 00:50:58.379 +0300,2026-05-02 00:51:49.628 +0300,94,101,663,306000,200,approved,,,2026-04-21,,,
68,2026-05-05 12:57:21.722 +0300,2026-05-05 13:14:12.856 +0300,160,20,665,282000,200,approved,,,2026-05-05,,,
