id,created_at,updated_at,name,additional_names
747,2026-08-03 12:39:47.068 +0300,2026-08-03 12:39:47.068 +0300,сателл ит,{}
749,2026-08-05 12:40:11.096 +0300,2026-08-05 12:40:11.096 +0300,enterprise solutions,{}
750,2026-08-05 12:51:23.126 +0300,2026-08-05 12:51:23.126 +0300,cyberbird,{}
751,2026-08-05 14:28:53.229 +0300,2026-08-05 14:28:53.229 +0300,funflow,{}
752,2026-08-05 14:34:10.301 +0300,2026-08-05 14:34:10.301 +0300,грчц фгуп,{}
753,2026-08-06 08:11:45.214 +0300,2026-08-06 08:11:45.214 +0300,techsearch,{}
754,2026-08-06 14:54:45.481 +0300,2026-08-06 14:54:45.481 +0300,стоун,{}
